,date,code,close_ground_truth,first_smallest_price,second_smallest_price,close_predictions
1044,2023-03-16 11:00:00,TCB,26.8,26.6,26.65,26.709999084472656
1045,2023-03-16 13:00:00,TCB,26.75,26.65,26.7,26.739999771118164
1046,2023-03-16 14:00:00,TCB,26.75,26.35,26.4,26.65999984741211
1047,2023-03-17 09:00:00,TCB,27.0,26.8,26.85,26.8700008392334
1048,2023-03-17 10:00:00,TCB,26.85,26.85,26.9,26.920000076293945
1049,2023-03-17 11:00:00,TCB,26.8,26.8,26.85,26.829999923706055
1050,2023-03-17 13:00:00,TCB,26.75,26.75,26.8,26.829999923706055
1051,2023-03-17 14:00:00,TCB,26.65,26.6,26.65,26.75
1052,2023-03-20 09:00:00,TCB,26.55,26.45,26.5,26.5
1053,2023-03-20 10:00:00,TCB,26.45,26.35,26.4,26.479999542236328
1054,2023-03-20 11:00:00,TCB,26.3,26.3,26.35,26.399999618530273
1055,2023-03-20 13:00:00,TCB,26.35,26.3,26.35,26.350000381469727
1056,2023-03-20 14:00:00,TCB,26.25,26.25,26.3,26.329999923706055
1057,2023-03-21 09:00:00,TCB,26.3,26.25,26.3,26.459999084472656
1058,2023-03-21 10:00:00,TCB,26.3,26.15,26.2,26.270000457763672
1059,2023-03-21 11:00:00,TCB,26.15,26.1,26.15,26.280000686645508
1060,2023-03-21 13:00:00,TCB,26.3,26.15,26.2,26.219999313354492
1061,2023-03-21 14:00:00,TCB,26.35,26.25,26.3,26.350000381469727
1062,2023-03-22 09:00:00,TCB,26.35,26.3,26.35,26.450000762939453
1063,2023-03-22 10:00:00,TCB,26.45,26.25,26.3,26.3799991607666
1064,2023-03-22 11:00:00,TCB,26.45,26.4,26.45,26.420000076293945
1065,2023-03-22 13:00:00,TCB,26.4,26.3,26.35,26.40999984741211
1066,2023-03-22 14:00:00,TCB,26.2,26.2,26.3,26.329999923706055
1067,2023-03-23 09:00:00,TCB,26.1,25.85,25.9,26.1200008392334
1068,2023-03-23 10:00:00,TCB,26.05,25.95,26.0,26.059999465942383
1069,2023-03-23 11:00:00,TCB,26.0,26.0,26.05,26.059999465942383
1070,2023-03-23 13:00:00,TCB,26.15,26.0,26.05,26.049999237060547
1071,2023-03-23 14:00:00,TCB,26.2,26.1,26.15,26.190000534057617
1072,2023-03-24 09:00:00,TCB,26.45,26.3,26.4,26.43000030517578
1073,2023-03-24 10:00:00,TCB,26.55,26.5,26.55,26.510000228881836
1074,2023-03-24 11:00:00,TCB,26.55,26.5,26.55,26.510000228881836
1075,2023-03-24 13:00:00,TCB,26.65,26.45,26.5,26.530000686645508
1076,2023-03-24 14:00:00,TCB,26.45,26.45,26.55,26.600000381469727
