,date,code,open,high,close_ground_truth,first_smallest_price,second_smallest_price,close_predictions
1030,2023-03-14 13:00:00,SHB,10.0,10.1,10.05,9.93,9.94,10.010000228881836
1031,2023-03-14 14:00:00,SHB,10.05,10.05,9.98,9.96,9.97,10.020000457763672
1032,2023-03-15 09:00:00,SHB,10.2,10.25,10.1,10.1,10.15,10.1899995803833
1033,2023-03-15 10:00:00,SHB,10.1,10.25,10.2,10.1,10.15,10.140000343322754
1034,2023-03-15 11:00:00,SHB,10.25,10.25,10.2,10.15,10.2,10.220000267028809
1035,2023-03-15 13:00:00,SHB,10.2,10.3,10.25,10.2,10.25,10.220000267028809
1036,2023-03-15 14:00:00,SHB,10.25,10.3,10.25,10.2,10.25,10.25
1037,2023-03-16 09:00:00,SHB,10.15,10.2,10.15,10.1,10.15,10.140000343322754
1038,2023-03-16 10:00:00,SHB,10.15,10.2,10.15,10.1,10.15,10.140000343322754
1039,2023-03-16 11:00:00,SHB,10.15,10.2,10.2,10.1,10.15,10.140000343322754
1040,2023-03-16 13:00:00,SHB,10.15,10.2,10.15,10.1,10.15,10.140000343322754
1041,2023-03-16 14:00:00,SHB,10.15,10.2,10.1,10.1,10.15,10.140000343322754
1042,2023-03-17 09:00:00,SHB,10.2,10.25,10.15,10.15,10.2,10.199999809265137
1043,2023-03-17 10:00:00,SHB,10.2,10.2,10.15,10.1,10.15,10.170000076293945
1044,2023-03-17 11:00:00,SHB,10.15,10.15,10.1,10.1,10.15,10.130000114440918
1045,2023-03-17 13:00:00,SHB,10.15,10.2,10.2,10.1,10.15,10.140000343322754
1046,2023-03-17 14:00:00,SHB,10.2,10.3,10.25,10.15,10.2,10.210000038146973
1047,2023-03-20 09:00:00,SHB,10.2,10.2,10.15,10.1,10.15,10.170000076293945
1048,2023-03-20 10:00:00,SHB,10.15,10.15,10.1,10.05,10.1,10.119999885559082
1049,2023-03-20 11:00:00,SHB,10.1,10.15,10.05,10.05,10.1,10.09000015258789
1050,2023-03-20 13:00:00,SHB,10.05,10.1,10.05,10.0,10.05,10.039999961853027
1051,2023-03-20 14:00:00,SHB,10.05,10.05,10.0,9.92,9.93,10.010000228881836
1052,2023-03-21 09:00:00,SHB,10.1,10.15,9.97,9.96,9.97,10.079999923706055
1053,2023-03-21 10:00:00,SHB,9.97,10.05,10.0,9.97,9.98,9.979999542236328
1054,2023-03-21 11:00:00,SHB,9.99,10.0,9.99,9.96,9.97,9.970000267028809
1055,2023-03-21 13:00:00,SHB,9.99,10.1,10.05,9.97,9.98,10.010000228881836
1056,2023-03-21 14:00:00,SHB,10.05,10.2,10.15,10.0,10.05,10.079999923706055
1057,2023-03-22 09:00:00,SHB,10.2,10.3,10.15,10.15,10.2,10.210000038146973
1058,2023-03-22 10:00:00,SHB,10.15,10.25,10.2,10.15,10.2,10.170000076293945
1059,2023-03-22 11:00:00,SHB,10.15,10.25,10.2,10.15,10.2,10.170000076293945
1060,2023-03-22 13:00:00,SHB,10.2,10.25,10.15,10.15,10.2,10.199999809265137
1061,2023-03-22 14:00:00,SHB,10.15,10.2,10.2,10.1,10.15,10.140000343322754
1062,2023-03-23 09:00:00,SHB,10.05,10.15,10.1,10.05,10.1,10.069999694824219
1063,2023-03-23 10:00:00,SHB,10.15,10.15,10.1,10.05,10.1,10.119999885559082
1064,2023-03-23 11:00:00,SHB,10.1,10.1,10.0,10.0,10.05,10.069999694824219
1065,2023-03-23 13:00:00,SHB,10.05,10.6,10.55,10.0,10.05,10.220000267028809
1066,2023-03-23 14:00:00,SHB,10.5,10.55,10.5,10.4,10.45,10.489999771118164
1067,2023-03-24 09:00:00,SHB,10.6,10.65,10.5,10.45,10.5,10.59000015258789
1068,2023-03-24 10:00:00,SHB,10.5,10.55,10.4,10.4,10.45,10.489999771118164
1069,2023-03-24 11:00:00,SHB,10.45,10.5,10.45,10.4,10.45,10.449999809265137
1070,2023-03-24 13:00:00,SHB,10.45,10.55,10.45,10.4,10.45,10.470000267028809
1071,2023-03-24 14:00:00,SHB,10.5,10.5,10.5,10.4,10.45,10.479999542236328
